airline,name,shortName,callSign,country,airlineUrl,phone
AAA|Ansett Australia Holdings Ltd|Ansett Australia Holdings|Ansett|Australia||
AAB|Abelag Aviation Sa|Abelag Aviation|ABG|Belgium||
AAC|Army Air Corps|Army Air Corps|Armyair|United Kingdom||
AAD|Aero Aviation Centre Ltd.|Aero Aviation Centre|Sunrise|Canada||
AAE|Arizona Air|Arizona Air|Arizona|||
AAF|Socit Aigle Azur Transports Ariens|Aigle Azur|Aigle Azur|||
AAH|Aloha Air Cargo|Aloha Cargo|Aloha|United States|http://www.alohaaircargo.com/|+1-800-367-5250
AAI|Air Aurora, Inc.|Air Aurora|Borealis|||
AAJ|Air Alma Inc.|Air Alma|Air Alma|Canada||
AAK|Alaska Island Air, Inc.|Alaska Island Air|Alaska Island|United States||
AAL|American Airlines Inc.|American Airlines|American|United States|http://www.aa.com/|+1-800-433-7300
AAM|Aviation Management Corporation|Aviation Management Corporation|Am Corp|United States||
AAN|Oasis International Airlines|Oasis International|Oasis|||
AAO|Atlantis Airlines|Atlantis|Atlantis Air|||
AAP|Astro Air International Inc.|Astro Air|Astroair|||
AAQ|Asia Atlantic Airlines|Asia Atlantic|Asia Atlantic|Thailand||
AAR|Asiana Airlines|Asiana|Asiana|South Korea|http://us.flyasiana.com/|+1-800-227-4262
AAS|Airtransservice||AL-AAS|||
AAT|Austrian Airtransport|Austrian Airtransport|Austrian Charter|||
AAU|Australia Asia Airlines Limited|Australia Asia Airlines|Austasia|||
AAV|Pan Pacific Airlines|Pan Pacific|ASTRO-PHIL|Philippines|http://www.panpacificair.com|
AAW|Afriqiyah Airways|Afriqiyah Airways|AFRIQIYAH|Libya|http://afriqiyah.aero|
AAX|Afric'air Express|Afric'air Express|Afrex|||
AAY|Allegiant Air, Inc.|Allegiant Air|Allegiant|United States|http://www.allegiantair.com/|+1-702-505-8888
AAZ|Angus Aviation Ltd|Angus Aviation Ltd|Angus|Canada||
ABA|Artem-Avia|Artem-Avia|Artem-Avia|||
ABB|Air Belgium|Air Belgium|Air Belgium|Belgium|http://www.flyabb.com/|
ABD|Atlanta|Atlanta|Atlanta|Iceland||
ABE|Arberia Airlines|Arberia|Arberia Airlines|||
ABF|Aerial Oy, Finland|Aerial Oy, Finland|Skywings|||
ABG|Royal Flight Airlines, CJSC|Royal Flight Airlines|Royal Flight|Russian Federation|http://www.royalflight.ru/|
ABH|Aebal Aerolineas de Baleares|Aebal Aerolineas de Baleares||Spain||
ABI|Antigua And Barbuda Airways International Ltd.|Antigua And Barbuda Airways|Anair|||
ABK|Alberta Citylink|Alberta Citylink|Alberta Citylink|Canada||
ABL|Air Bc Ltd.|Air Busan|AIR BUSAN|South Korea|https://en.airbusan.com/content/individual/?|
ABM|Aero Albatros|Aero Albatros|Albatros Espana|||
ABN|Air Albania|AIRALBANIA|AIRALBANIA|United Kingdom|https://www.airalbania.com.al/en/|+355 4 224 60 00
ABO|Aeroexpreso Bogota|Aeroexpreso Bogota|Aeroexpreso|||
